Operation,Operand1,Operand2,Result
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,7.0,6.0,42.0
divide,8.0,2.0,4.0
add,3.0,9.0,12.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,3.0,4.0,7.0
divide,3.0,0.0,Error: Cannot divide by zero
add,3.0,22.0,25.0
add,4.0,5.0,9.0
subtract,5.0,3.0,2.0
add,3.0,5.0,8.0
subtract,7.0,4.0,3.0
multiply,5.0,4.0,20.0
divide,4.0,2.0,2.0
divide,6.0,0.0,Error: Cannot divide by zero
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,1.0,2.0,3.0
add,3.0,4.0,7.0
